date;txVolume(USD);adjustedTxVolume(USD);txCount;marketcap(USD);price(USD);exchangeVolume(USD);realizedCap(USD);generatedCoins;fees;activeAddresses;averageDifficulty;paymentCount;medianTxValue(USD);medianFee;blockSize;blockCount
28/04/2013;687.986.834.462.941;31.537.136.803.732.400;41702;15.006.562.722.479.600;135.3;0.0;5.035.150.074.481.950;4425.0;3.279.194.181;117984;897.429.601.488.783;130171;49.980.090.600.000.000;0.0005;21597536;177
29/04/2013;11.381.284.537.973.300;48.216.524.636.828.100;51602;14.917.025.474.650.600;134.44;0.0;51.101.544.489.350.800;43.499.988;4.572.411.389;86925;897.429.601.488.783;112426;624.258.911.104;0.0005;25676453;174
30/04/2013;8.426.632.385.465.560;568.679.031.120.888;47450;1598310000.0;144.0;0.0;51.427.850.745.270.300;3725.0;4.574.865.143;76871;9.854.414.319.285;98258;2.694.214.512;0.0005;27042465;149
01/05/2013;12.068.253.251.662.100;820.873.577.491.897;55176;15.433.343.752.970.300;139.0;0.0;5.110.473.802.682.760;3775.0;4.088.593.753;83564;100.762.928.834.187;96129;3.867.197.952;0.0005;25727393;151
02/05/2013;9.337.532.862.924.960;58.237.355.013.376.200;55295;1.292.577.379.223.450;116.38;0.0;50.839.555.839.988.100;3350.0;525.540.039;81920;100.762.928.834.187;101721;35.382.348.034;0.0005;26388234;134
03/05/2013;7.273.132.622.831.810;54.656.405.124.203.900;51275;1.180.429.531.521.730;106.25;0.0;5.069.571.275.256.070;3425.0;4.545.884.469;82804;100.762.928.834.187;92650;3.081.855.625;0.0005;24999318;137
04/05/2013;3.896.569.754.450.900;23.192.896.001.388.800;50102;10.902.760.429.359.900;98.1;0.0;50.863.098.381.943.300;3975.0;4.566.787.787;69959;100.762.928.834.187;119009;15.912.911.853;0.0005;25116891;159
05/05/2013;5.708.371.054.507.320;25.552.273.971.570.500;50167;1.255.227.845.487.010;112.9;0.0;5.109.894.180.804.120;4125.0;3.656.506.628;72103;100.762.928.834.187;103009;22.467.100.000.000.000;0.0005;25186659;165
06/05/2013;8.567.132.850.511.290;36.663.917.289.312.000;53174;1289952756.0;115.98;0.0;5.119.002.565.020.870;4150.0;5.294.511.009;85164;100.762.928.834.187;114382;25.253.485.200.000.000;0.0005;27088540;166
07/05/2013;9.672.450.729.706.360;3.794.201.764.092.220;56567;1248938400.0;112.25;0.0;51.295.297.562.853.800;4200.0;4.671.463.015;109067;100.762.928.834.187;132270;31.950.273.137.499.900;0.0005;28735146;168
08/05/2013;79.890.880.104.524;3.932.821.049.096.460;50274;12.198.625.740.882.200;109.6;0.0;51.363.141.748.726.600;4125.0;5.200.264.132;102388;100.762.928.834.187;131131;35.146.677.056;0.0005;25837956;165
09/05/2013;645.396.983.101;40.470.140.648.819.500;66610;1260436720.0;113.2;0.0;5.144.251.293.610.230;4100.0;6.588.905.401;81894;100.762.928.834.187;113131;24.136.031.956;0.0005;31016605;164
10/05/2013;7.883.245.556.156.760;43.036.415.380.641.300;67709;1256467920.0;112.8;0.0;5.145.663.018.720.960;4300.0;6.427.633.127;84293;100.762.928.834.187;135760;24.053.702.112;0.0005;32790392;172
11/05/2013;6.724.575.447.987.560;32.927.169.167.997.600;73220;13.116.211.511.220.000;117.7;0.0;5.171.319.272.209.870;4550.0;6.169.773.114;80910;100.762.928.834.187;122381;212.621.519;0.0005;34695399;182
