TIME;Italy
2014-01;8.450,00
2014-02;6.962,00
2014-03;6.076,00
2014-04;4.123,00
2014-05;3.720,00
2014-06;3.591,00
2014-07;3.887,00
2014-08;3.033,00
2014-09;4.120,00
2014-10;4.593,00
2014-11;5.737,00
2014-12;7.620,00
2015-01;8.719,00
2015-02;8.088,00
2015-03;6.946,00
2015-04;4.461,00
2015-05;3.695,00
2015-06;3.631,00
2015-07;4.551,00
2015-08;3.519,00
2015-09;4.128,00
2015-10;4.842,00
2015-11;6.525,00
2015-12;8.419,00
2016-01;9.132,00
2016-02;7.514,00
2016-03;7.026,00
2016-04;4.410,00
2016-05;4.175,00
2016-06;3.716,00
2016-07;4.191,00
2016-08;3.559,00
2016-09;4.655,00
2016-10;5.635,00
2016-11;7.463,00
2016-12;9.438,00
2017-01;11.141,00
2017-02;8.078,00
2017-03;6.491,00
2017-04;4.835,00
2017-05;4.510,00
2017-06;4.358,00
2017-07;4.565,00
2017-08;3.972,00
2017-09;4.327,00
2017-10;5.237,00
2017-11;7.930,00
2017-12;9.706,00
2018-01;8.824,00
2018-02;8.978,00
2018-03;8.254,00
2018-04;4.720,00
2018-05;4.051,00
2018-06;3.959,00
2018-07;4.452,00
2018-08;3.962,00
2018-09;4.613,00
2018-10;5.022,00
2018-11;6.898,00
2018-12;8.934,00
2019-01;10.598,00
2019-02;8.064,00
2019-03;6.992,00
2019-04;5.536,00
2019-05;4.922,00
2019-06;4.327,00
2019-07;4.982,00
2019-08;4.174,00
2019-09;4.766,00
2019-10;5.219,00
2019-11;6.692,00
2019-12;8.044,00
2020-01;9.692,00
2020-02;7.566,00
2020-03;6.692,00
2020-04;4.268,00
2020-05;3.743,00
2020-06;4.094,00
2020-07;4.784,00
2020-08;4.110,00
2020-09;4.822,00
2020-10;5.346,00
2020-11;6.950,00
2020-12;8.853,40
2021-01;9.823,00
2021-02;7.677,50
2021-03;7.638,00
2021-04;6.161,00
2021-05;4.215,00
2021-06;4.317,00
2021-07;4.571,00
