TIME;Italy;France;Spain;Greece;Portugal;Sweden
2014-01;8.450,00;5.085,00;2.894,00;354;352;148
2014-02;6.962,00;4.492,00;2.621,00;322;336;111
2014-03;6.076,00;3.999,00;2.391,00;255;312;74
2014-04;4.123,00;2.536,00;1.990,00;219;281;62
2014-05;3.720,00;2.169,00;1.976,00;170;333;49
2014-06;3.591,00;1.587,00;1.979,00;202;325;48
2014-07;3.887,00;1.533,00;2.007,00;236;356;46
2014-08;3.033,00;1.389,00;1.848,00;197;325;47
2014-09;4.120,00;1.724,00;2.140,00;207;450;48
2014-10;4.593,00;2.515,00;2.113,00;196;308;69
2014-11;5.737,00;3.865,00;2.354,00;265;321;80
2014-12;7.620,00;5.385,00;2.781,00;299;327;109
2015-01;8.719,00;5.787,00;3.093,00;334;403;124
2015-02;8.088,00;5.506,00;2.751,00;273;336;116
2015-03;6.946,00;4.280,00;2.506,00;256;320;78
2015-04;4.461,00;2.849,00;2.144,00;182;369;53
2015-05;3.695,00;2.023,00;1.981,00;153;347;49
2015-06;3.631,00;1.588,00;1.967,00;152;432;41
2015-07;4.551,00;1.533,00;2.259,00;278;462;33
2015-08;3.519,00;1.326,00;1.845,00;222;379;37
2015-09;4.128,00;1.901,00;2.010,00;239;413;38
2015-10;4.842,00;3.448,00;2.169,00;327;410;59
2015-11;6.525,00;4.068,00;2.448,00;274;410;81
2015-12;8.419,00;4.479,00;2.688,00;447;393;100
2016-01;9.132,00;5.442,00;2.709,00;408;379;157
2016-02;7.514,00;4.902,00;2.594,00;270;331;118
2016-03;7.026,00;4.923,00;2.606,00;286;367;95
2016-04;4.410,00;3.373,00;2.244,00;252;331;54
2016-05;4.175,00;2.206,00;2.058,00;249;343;44
2016-06;3.716,00;1.774,00;1.966,00;337;414;38
2016-07;4.191,00;1.701,00;2.105,00;337;482;36
2016-08;3.559,00;1.568,00;1.902,00;298;448;43
2016-09;4.655,00;2.046,00;2.068,00;311;519;52
2016-10;5.635,00;3.605,00;2.407,00;374;519;64
2016-11;7.463,00;5.043,00;2.890,00;386;502;106
2016-12;9.438,00;6.116,00;3.009,00;553;509;111
2017-01;11.141,00;7.061,00;3.422,00;637;511;92
2017-02;8.078,00;4.845,00;2.603,00;436;488;83
2017-03;6.491,00;4.208,00;2.602,00;328;497;410
2017-04;4.835,00;3.114,00;2.110,00;286;465;52
2017-05;4.510,00;2.268,00;2.081,00;317;493;48
2017-06;4.358,00;1.640,00;2.220,00;393;546;41
2017-07;4.565,00;1.712,00;2.380,00;406;599;36
2017-08;3.972,00;1.543,00;2.198,00;423;600;46
2017-09;4.327,00;2.220,00;2.287,00;372;541;48
2017-10;5.237,00;3.160,00;2.542,00;362;494;63
2017-11;7.930,00;5.132,00;3.242,00;473;496;80
2017-12;9.706,00;5.971,00;3.320,00;489;476;89
2018-01;8.824,00;5.137,00;3.135,00;494;567;105
2018-02;8.978,00;6.080,00;3.066,00;425;468;141
2018-03;8.254,00;5.118,00;2.799,00;339;388;117
2018-04;4.720,00;2.620,00;2.364,00;304;352;89
2018-05;4.051,00;1.934,00;2.331,00;327;449;74
2018-06;3.959,00;1.603,00;2.169,00;351;511;41
2018-07;4.452,00;1.746,00;2.177,00;390;555;59
2018-08;3.962,00;1.606,00;2.116,00;373;535;77
2018-09;4.613,00;1.906,00;2.177,00;399;541;60
2018-10;5.022,00;3.061,00;2.477,00;431;470;84
2018-11;6.898,00;4.814,00;3.019,00;433;466;118
2018-12;8.934,00;5.236,00;3.095,00;563;446;123
2019-01;10.598,00;6.426,00;3.575,00;679;498;130
2019-02;8.064,00;4.842,00;2.936,00;495;441;104
2019-03;6.992,00;4.236,00;2.769,00;382;381;126
2019-04;5.536,00;3.213,00;2.716,00;361;448;101
2019-05;4.922,00;2.659,00;2.751,00;328;513;124
2019-06;4.327,00;1.813,00;2.738,00;396;555;62
2019-07;4.982,00;1.859,00;3.041,00;482;587;62
2019-08;4.174,00;1.590,00;2.960,00;443;543;75
2019-09;4.766,00;1.969,00;2.743,00;433;529;66
2019-10;5.219,00;2.922,00;2.960,00;410;542;66
2019-11;6.692,00;4.901,00;3.101,00;383;529;98
2019-12;8.044,00;5.184,00;3.109,00;442;461;118
2020-01;9.692,00;5.623,08;3.492,00;611,324;581,962;116
2020-02;7.566,00;4.511,83;2.855,00;485,308;519,791;114,9
2020-03;6.692,00;4.243,43;2.585,00;456,894;447,835;94
2020-04;4.268,00;2.097,06;2.115,00;375,729;362,218;74,47
2020-05;3.743,00;1.955,51;2.005,00;372,205;385,449;77,5
2020-06;4.094,00;1.879,56;2.245,00;443,439;447,829;83,72
2020-07;4.784,00;1.805,97;2.675,00;549,808;578,712;53,5
2020-08;4.110,00;1.615,41;2.665,00;510,795;545,85;85,5
2020-09;4.822,00;2.014,43;2.585,00;470,844;595,745;80,4
2020-10;5.346,00;3.321,20;2.503,00;439,259;548,997;162
2020-11;6.950,00;4.226,44;2.826,00;510,55;528,362;142
2020-12;8.853,40;5.268,87;3.187,00;604,735;443,818;177
2021-01;9.823,00;6.068,59;3.419,00;628,402;527,035;184
2021-02;7.677,50;4.649,30;2.523,00;448,668;386,643;155
2021-03;7.638,00;4.547,17;2.848,00;540,101;435,485;116
2021-04;6.161,00;3.544,71;2.693,00;551,048;521,285;100
2021-05;4.215,00;2.561,12;2.406,00;403,431;439,409;63,6
2021-06;4.317,00;1.655,45;2.436,00;549,26;534,458;103,7
2021-07;4.571,00;1.573,42;2.486,00;615,467;479,506;64
