YEAR;JAN;FEB;MAR;APR;MAY;JUN;JUL;AUG;SEP;OCT;NOV;DEC;D-J-F;M-A-M;J-J-A;S-O-N;metANN
1946;24,02;23,6;22;19,9;19,4;16,65;14,8;16,03;18,7;18;19,08;21,74;23,02;21,04;16,03;18,08;19,75
1947;23,78;23,54;21,04;19,74;19,24;16,7;15,04;16,44;18,04;17,04;18,94;20,34;22,75;20,01;15,67;18,01;19,11
1948;23,64;22,94;20,74;20,04;18,04;16,64;17,84;15,64;18,64;18,74;20,64;21,24;22,31;19,61;16,71;19,34;19,49
1949;22,34;21,54;23,54;19,44;17,24;17,34;16,34;17,34;18,24;18,74;19,74;21,54;21,71;20,07;17,01;18,91;19,42
1950;22,14;22,44;22,24;20,44;19,44;17,94;16,44;19,14;19,54;19,04;19,94;21,94;22,04;20,71;17,84;19,51;20,02
1951;22,04;22,74;21,84;17,94;17,74;15,94;15,14;16,04;18,74;20,04;21,04;20,54;22,24;19,17;15,71;19,94;19,27
1952;22,64;22,7;23,34;20,14;16,24;17,24;16,94;16,66;18,94;20,74;21,24;22,04;21,84;19,91;17,42;20,31;19,87
1953;23,74;22,64;22,94;20,04;18,94;17,34;15,34;17,74;19,84;20,54;20,64;21,74;22,81;20,64;16,81;20,34;20,15
1954;24,24;23,64;22,94;20,34;18,54;18,24;17,54;18,54;20,14;20,14;21,04;21,84;23,21;20,61;18,11;20,44;20,59
1955;22,84;23,84;22,54;20,64;18,01;17,24;17,04;17,54;19,14;18,74;19,34;22,44;22,84;20,46;17,27;19,07;19,91
1956;25,74;23,34;22,24;20,24;17,14;15,44;16,04;15,94;20,14;19,44;19,24;21,34;23,84;19,87;15,81;19,61;19,78
1957;23,34;22,24;22,44;20,24;17,94;17,24;16,54;18,24;18,34;21,64;21,24;23,04;22,31;20,21;17,34;20,41;20,07
1958;23,94;24,44;22,14;19,84;18,24;17,64;17,94;20,14;18,94;20,54;22,94;23,74;23,81;20,07;18,57;20,81;20,82
1959;23,74;24,14;22,04;23,44;19,64;17,14;17,95;18,24;20,44;21,24;21,14;22,34;23,87;21,71;17,44;20,94;20,99
1960;22,34;22,34;22,24;20,24;16,94;17,04;17,24;19,04;19,64;21,94;21,14;22,54;22,34;19,81;17,77;20,91;20,21
1961;22,35;22,3;22,5;20,25;17,43;17;17,08;19,07;20,45;21,44;20,8;22,43;22,45;19,99;17,99;20,97;21,01
1962;22,89;22,7;22,28;20,5;17,95;16,56;17,01;18,99;21,77;21,38;20,51;21,21;22,55;20,3;18,02;21,04;20,95
1963;24,02;22,75;24,22;20,75;18;16,04;17,53;18,98;22,3;21,33;22,71;22,14;22,66;20,99;17,52;22,11;20,82
1964;22,42;22,73;22,36;21,77;17,7;15,83;14,52;18,34;19,64;19;19,25;20,86;22,43;20,61;16,23;19,3;19,64
1965;21,47;22,73;21,1;20,9;18,09;18,54;16,85;18,83;21,22;20,32;21,66;23,13;21,69;20,03;18,07;21,07;20,21
1966;23,66;24,95;22,53;20,91;18,74;18,52;18,28;17,55;18,25;19,98;20,86;22,89;23,91;20,73;18,12;19,7;20,61
1967;22,65;23,58;22,47;21,02;19,9;17,78;17,46;20,42;19,81;22,22;20,86;20,48;23,04;21,13;18,55;20,96;20,92
1968;22,48;21,84;22,55;18,8;16,2;16,61;16,18;16,57;18,48;19,89;22,25;23,21;21,6;19,18;16,45;20,21;19,36
1969;24,54;24,26;23,36;20,42;18,94;18,05;17,54;18,78;20,4;18,68;21,74;20,9;24;20,91;18,12;20,27;20,83
1970;22,79;23,35;23,71;21,4;20,69;19,2;16,94;17,59;18,84;19,74;19,74;23,56;22,35;21,93;17,91;19,44;20,41
1971;24,95;24,86;23,95;20,4;18,3;16,64;17,01;18,48;19,06;19,07;19,82;22;24,46;20,88;17,38;19,32;20,51
1972;23,33;22,84;23,8;19,09;19,44;19,72;17,25;18,51;19,47;20,55;21,47;22,83;22,72;20,78;18,49;20,5;20,62
1973;24,51;25,18;22,22;23,85;18,73;18,97;18,42;17,28;18,28;19,44;19,82;22,63;24,17;21,6;18,22;19,18;20,79
1974;23,22;24,54;23,06;20,21;18,99;16,46;17,84;18,97;19,28;19,5;21,29;21,3;23,46;20,75;17,76;20,02;20,5
1975;22,74;24,16;23,81;20,31;18,16;17,59;16,1;21,05;20,27;20,7;21,15;23,46;22,73;20,76;18,25;20,71;20,61
1976;24,06;22,38;22,98;20,83;18,29;17,16;16,26;17,45;17,61;19,18;21,59;22,54;23,3;20,7;16,96;19,46;20,1
1977;23,57;25,54;24,14;20,51;18,94;18,53;20,25;20,44;20,29;21,99;22,16;21,41;23,88;21,2;19,74;21,48;21,57
1978;24,34;23,59;23,66;20,28;17,72;17,14;18,37;17,67;19,1;21,56;21,08;22,15;23,11;20,55;17,73;20,58;20,49
1979;20,78;23,42;23,88;20,22;19,33;17,02;18,4;19,63;18,37;20,68;21,11;22,8;22,12;20,8;17,88;20,05;20,03
1980;22,54;23,54;24,76;21,61;20,58;17,05;18,4;18,56;17,58;21,09;21,46;227;22,96;22,32;18;20,04;20,83
1981;22,54;24,97;23,23;20,3;20,05;17,01;15,55;18,35;20,78;19,25;22,47;22,24;22,78;21,75;16,97;20,83;20,74
1982;21,69;22,55;22,3;19,77;18,07;19,25;18,3;19,33;19,71;20,8;23,28;21,72;22,21;19,95;18,96;21,26;20,6
1983;23,02;23,62;21,72;21,22;19,62;17,32;18,02;17,52;16,42;19,32;21,82;22,42;22,79;20,85;17,62;19,19;20,11
1984;25,13;26,4;23,47;20,58;21,19;18,93;18,61;17,07;18,51;21,95;22,35;21,92;24,65;21,75;18,2;20,94;21,38
1985;21,9;24,37;23,74;22,34;18,85;16,45;16,47;19,51;19,22;21,5;22,54;23;22,73;21,64;17,48;21,09;20,73
1986;24,84;24,09;23,45;22,52;20,73;17,7;16,93;18,9;19,1;20,63;22,84;22,74;23,98;22,23;17,84;20,86;21,23
1987;24,28;24,01;22,73;22,71;18,35;16,75;19,61;17,54;18,06;21,25;22,58;23,52;23,68;21,26;17,97;20,63;20,88
1988;25,26;22,82;23,73;21,44;19,03;16,12;14,78;18,97;20,88;19,95;20,7;23,14;23,87;21,4;16,62;20,51;20,6
1989;23,84;24,05;23,68;22,56;18,45;17,4;16,09;18,09;18,9;19,04;21,26;22,45;23,68;21,56;17,19;19,73;20,54
1990;25,02;24,48;24,6;23,89;18,5;17,5;15,6;16,89;17,72;22,05;24,25;23,15;23,98;22,33;16,66;21,34;21,08
1991;23,3;23,22;22,23;21,42;19,41;18,63;17,46;18,52;18,86;21,34;22,69;23,85;23,22;21,02;18,2;20,96;20,85
1992;23,53;24,4;23,32;21,61;20,66;19,74;17,14;17,31;18,45;21,14;21,44;22,23;23,93;21,86;18,06;20,34;21,05
1993;24,16;22,94;23,71;22,37;19,02;17;18,21;17,11;18,35;21,71;23,56;22,68;23,11;21,7;17,44;21,21;20,86
1994;22,71;25,38;22,12;20,83;19,47;15,72;16,84;17,69;20,84;22,26;22,54;24,43;23,59;20,81;16,75;21,88;20,76
1995;25,14;24,09;23,15;21,7;19,3;18,25;19,57;21,21;19,81;20,17;22,09;22,9;24,55;21,38;19,68;20,69;21,58
1996;24,9;24,47;23,69;22,16;18,78;18,04;16,04;18,02;18,97;21,18;21,52;23,97;24,09;21,54;17,37;20,56;20,89
1997;23,73;24,46;22,62;21,12;18,82;16,95;18,88;19,3;20,56;21,51;23,47;24,82;24,05;20,85;18,38;21,85;21,28
1998;25,76;24,95;24,5;22,24;18,38;16,94;18,16;20,94;20,35;20,6;21,87;24,33;25,18;21,71;18,68;20,94;21,63
1999;25,48;25,5;24,8;21,99;18,74;17,99;18,86;19,05;20,08;18,92;20;23,41;25,1;21,84;18,63;19,67;21,31
2000;23,67;23,37;22,6;21,67;18,74;19,27;16,43;18,16;19,36;23,48;22,67;23,54;23,48;21;17,95;21,84;21,07
2001;25,27;25,27;24,97;23,66;19,14;18,58;18,3;19,84;19,63;21,64;22,88;22,74;24,69;22,59;18,91;21,38;21,89
2002;23,78;22,91;25,17;24,11;20,74;20,61;17,72;21,63;19,34;24,46;23,13;24,39;23,14;23,34;19,99;22,31;22,2
2003;23,58;26,57;23,53;22,26;19,1;20,17;18,71;17,12;19,52;21,37;22,05;23,76;24,85;21,63;18,67;20,98;21,53
2004;22,7;22,59;22,34;22,4;18,29;17,69;16,99;18,77;22,69;20,32;21,97;22,51;23,02;21,01;17,82;21,66;20,88
2005;23,47;23,3;23,52;23,3;20,53;19,53;17,8;20,52;19,06;22,19;21,64;22,13;23,09;22,45;19,28;20,96;21,45
2006;24,86;24,52;24,05;21,57;17,9;18,24;18,91;19,83;19,6;21,48;22,01;23,89;23,84;21,17;18,99;21,03;21,26
2007;23,67;24,75;25,35;22,96;18,61;19,59;17,32;19,65;21,79;22,71;21,49;23,75;24,1;22,31;18,85;22;21,82
2008;22,61;23,7;23,06;21,81;18,49;17,96;18,49;19,85;18,81;21,87;21,82;22,25;23,35;21,12;18,77;20,83;21,02
2009;23,11;24,67;24,41;21,26;20,41;16,74;17,74;19,16;20,65;21,01;25,15;23,77;23,34;22,03;17,88;22,27;21,38
2010;24,43;25,75;24,13;21,37;19,3;17,75;19,2;18,51;20,78;19,76;22,14;23,82;24,65;21,6;18,49;20,89;21,41
2011;24,93;25,38;22,4;22,65;18,63;16,89;18,4;19,35;19,67;21,34;21;23;24,71;21,23;18,21;20,67;21,2
2012;22,48;25,41;23,53;22,45;18,9;18,5;18,5;20;21,55;23,65;21,95;25,45;23,63;21,63;19;22,38;21,66
2013;23;24,4;23;22,55;17,95;18,75;17,05;18,85;19,9;20,64;22,3;24,25;24,28;20,58;18,22;20,95;21,01
2014;26,09;26,6;24,2;22,05;19,5;19,2;17,7;19,25;21,5;22,74;22,65;24,55;25,65;21,92;18,72;22,3;22,14
2015;26,35;24,6;23,15;22;19,25;18,7;18,6;20,65;21,85;23;22,95;24,5;25,17;21,47;19,32;22,6;22,14
2016;23,6;25,3;23,9;24,25;18,6;16,1;18,4;18,9;19,65;21,4;21,6;24,2;24,47;22,25;17,8;20,88;21,35
2017;23,85;25;22,65;21,1;19,4;18,6;17,3;18,3;22,55;22,55;21,85;23,7;24,35;21,05;18,07;22,32;21,45
2018;23,9;23,25;24,95;22,2;20,15;19,2;19,55;17,85;20,7;20,95;22,3;24,55;23,62;22,43;18,87;21,32;21,56
2019;26,55;24,15;23,95;23,45;21,55;19,8;18,05;18,8;20,85;23,45;22,45;25,54;25,08;22,98;18,88;22,62;22,39
