;Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose;Risk
0;67;male;2;own;little;little;1169;6;radio/TV;good
1;22;female;2;own;little;moderate;5951;48;radio/TV;bad
2;49;male;1;own;little;little;2096;12;education;good
3;45;male;2;free;little;moderate;7882;42;furniture/equipment;good
4;53;male;2;free;little;little;4870;24;car;bad
5;35;male;1;free;little;moderate;9055;36;education;good
6;53;male;2;own;quite rich;little;2835;24;furniture/equipment;good
7;35;male;3;rent;little;moderate;6948;36;car;good
8;61;male;1;own;rich;little;3059;12;radio/TV;good
9;28;male;3;own;little;moderate;5234;30;car;bad
10;25;female;2;rent;little;moderate;1295;12;car;bad
11;24;female;2;rent;little;little;4308;48;business;bad
12;22;female;2;own;little;moderate;1567;12;radio/TV;good
13;60;male;1;own;little;little;1199;24;car;bad
14;45;male;0;free;little;little;1199;23;gambling;bad
15;48;female;1;rent;little;moderate;1199;22;gambling;bad
16;51;male;1;rent;little;moderate;1215;21;gambling;bad
17;54;male;0;free;little;moderate;1231;24;gambling;bad
18;57;male;0;rent;little;moderate;1247;36;gambling;bad
19;60;male;1;own;little;little;1263;12;gambling;bad
20;39;male;1;free;moderate;moderate;1279;12;gambling;bad
21;34;male;0;rent;little;little;1295;32;gambling;bad
22;39;male;0;free;moderate;moderate;1311;11;gambling;bad
23;32;male;1;rent;little;moderate;1327;12;gambling;bad
24;33;female;0;rent;moderate;moderate;1343;24;gambling;bad
25;35;male;1;free;moderate;moderate;1359;23;gambling;bad
26;42;male;1;own;moderate;moderate;1001;34;gambling;bad
27;45;male;2;own;quite rich;moderate;9012;45;gambling;good
28;48;male;0;free;little;moderate;1022;50;gambling;bad
29;51;male;1;free;little;little;1039;11;gambling;bad
30;54;female;1;free;moderate;little;1056;17;gambling;bad
31;57;male;0;rent;little;moderate;1073;45;gambling;bad
32;60;male;0;rent;little;little;1090;32;gambling;bad
33;63;female;1;free;little;moderate;1107;31;gambling;bad
34;66;male;1;rent;little;little;1124;27;gambling;bad
35;69;male;0;own;little;moderate;1141;32;gambling;bad
36;72;female;1;free;moderate;little;1158;39;gambling;bad
37;56;male;1;rent;little;little;1175;23;gambling;bad
38;58;male;0;free;moderate;moderate;1192;37;gambling;bad
39;60;female;2;rent;quite rich;rich;8222;45;gambling;good
40;62;female;1;rent;little;little;2322;35;gambling;bad
41;64;male;1;free;moderate;little;2344;15;gambling;bad
42;66;male;0;rent;moderate;little;2366;31;gambling;bad
43;68;female;0;own;moderate;little;2388;34;gambling;bad
44;70;female;1;free;little;moderate;2410;24;gambling;bad
45;72;female;1;rent;little;moderate;2432;26;gambling;bad
46;28;female;2;free;little;little;1403;15;car;good
47;32;female;1;rent;moderate;little;1282;24;radio/TV;bad
48;53;male;2;own;moderate;little;2424;24;radio/TV;good
49;25;male;2;own;moderate;little;8072;30;business;good
50;44;female;3;free;little;moderate;12579;24;car;bad
51;31;male;2;own;quite rich;little;3430;24;radio/TV;good
52;48;male;2;own;little;little;2134;9;car;good
53;44;male;2;rent;quite rich;little;2647;6;radio/TV;good
54;48;male;1;rent;little;little;2241;10;car;good
55;44;male;2;own;moderate;moderate;1804;12;car;good
56;26;male;2;own;moderate;moderate;2069;10;furniture/equipment;good
57;36;male;1;own;little;little;1374;6;furniture/equipment;good
58;39;male;1;own;little;little;426;6;radio/TV;good
59;42;female;2;rent;rich;rich;409;12;radio/TV;good
60;34;male;2;own;little;moderate;2415;7;radio/TV;good
61;63;male;2;own;little;little;6836;60;business;bad
62;36;male;2;own;rich;moderate;1913;18;business;good
63;27;male;2;own;little;little;4020;24;furniture/equipment;good
64;30;male;2;own;moderate;moderate;5866;18;car;good
65;57;male;1;rent;moderate;moderate;1264;12;business;good
66;33;female;3;own;little;rich;1474;12;furniture/equipment;good
67;25;male;1;own;little;moderate;4746;45;radio/TV;bad
68;31;male;2;free;little;moderate;6110;48;education;good
69;37;male;2;own;little;rich;2100;18;radio/TV;bad
70;37;male;2;own;little;rich;1225;10;domestic appliances;good
71;24;male;2;own;little;moderate;458;9;radio/TV;good
72;30;male;3;own;quite rich;quite rich;2333;30;radio/TV;good
73;26;male;2;own;quite rich;moderate;1158;12;radio/TV;good
74;44;male;1;own;little;moderate;6204;18;repairs;good
75;24;male;2;rent;moderate;little;6187;30;car;good
76;58;female;1;free;little;little;6143;48;car;bad
77;35;female;3;own;little;moderate;1393;11;car;good
78;39;male;2;own;quite rich;moderate;2299;36;radio/TV;good
79;23;female;0;rent;quite rich;little;1352;6;car;good
80;39;male;1;own;little;little;7228;11;car;good
81;28;female;2;own;quite rich;moderate;2073;12;radio/TV;good
82;29;male;1;own;little;moderate;2333;24;furniture/equipment;good
83;30;male;3;own;quite rich;little;5965;27;car;good
84;25;male;2;own;little;little;1262;12;radio/TV;good
85;31;male;2;own;moderate;moderate;3378;18;car;good
86;57;male;2;free;moderate;moderate;2225;36;car;bad
87;26;male;1;own;moderate;moderate;783;6;car;good
88;52;male;3;own;moderate;moderate;6468;12;radio/TV;bad
89;31;female;2;own;little;moderate;9566;36;radio/TV;good
90;23;female;3;own;little;rich;1961;18;car;good
91;23;female;1;rent;little;little;6229;36;furniture/equipment;bad
92;27;male;2;own;little;moderate;1391;9;business;good
93;50;male;2;own;little;moderate;1537;15;radio/TV;good
94;61;male;3;free;little;moderate;1953;36;business;bad
95;25;male;2;own;little;moderate;14421;48;business;bad
96;26;female;2;own;little;moderate;3181;24;radio/TV;good
97;48;male;2;own;little;moderate;5190;27;repairs;good
98;29;female;2;own;little;moderate;2171;12;radio/TV;good
99;22;male;2;own;little;moderate;1007;12;car;good
100;37;male;2;free;little;moderate;1819;36;education;bad
101;25;female;2;own;little;moderate;2394;36;radio/TV;good
102;30;female;2;own;little;little;8133;36;car;good
103;46;male;1;rent;little;little;730;7;radio/TV;good
104;51;male;3;free;little;little;1164;8;vacation/others;good
