,Unnamed: 0,Age,Job,Credit amount,Duration,Purpose_car,Purpose_domestic appliances,Purpose_education,Purpose_furniture/equipment,Purpose_gambling,Purpose_radio/TV,Purpose_repairs,Purpose_vacation/others,Sex_male,Housing_own,Housing_rent,Savings_moderate,Savings_quite rich,Savings_rich,Risk_bad,Check_moderate,Check_quite rich,Check_rich,Age_cat_Young,Age_cat_Adult,Age_cat_Senior
0,0,67,2,7.063903961472068,6,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
1,1,22,2,8.691314551644853,48,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
2,2,49,1,7.647786045440933,12,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
3,3,45,2,8.97233695775495,42,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
4,4,53,2,8.490849216076635,24,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
5,5,35,1,9.111072370317514,36,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
6,6,53,2,7.949797216161852,24,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0
7,7,35,3,8.846209127360996,36,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0
8,8,61,1,8.025843344150903,12,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1
9,9,28,3,8.562931083090092,30,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0
10,10,25,2,7.166265974133638,12,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
11,11,24,2,8.36822903827628,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
12,12,22,2,7.356918242356021,12,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
13,13,60,1,7.089243155027514,24,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
14,14,45,0,7.089243155027514,23,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
15,15,48,1,7.089243155027514,22,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
16,16,51,1,7.102499355774649,21,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
17,17,54,0,7.115582126184454,24,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
18,18,57,0,7.1284959456800365,36,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
19,19,60,1,7.141245122350491,12,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0
20,20,39,1,7.153833801578843,12,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
21,21,34,0,7.166265974133638,32,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
22,22,39,0,7.1785454837637,11,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0
23,23,32,1,7.190676034332207,12,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0
24,24,33,0,7.202661196523238,24,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0
25,25,35,1,7.214504414151143,23,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0
26,26,42,1,6.90875477931522,34,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,1,0
27,27,45,2,9.106312301552135,45,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0
28,28,48,0,6.92951677076365,50,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0
29,29,51,1,6.946013991099227,11,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
30,30,54,1,6.962243464266207,17,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0
31,31,57,0,6.9782137426306985,45,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0
